fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubos;furtos;sequestro_relampago;estelionato;trafico_drogas
3300506;Bom Jardim;2014;2;Interior;0;0;0;0;2;0;11;0;1;0
3300605;Bom Jesus do Itabapoana;2014;2;Interior;0;0;0;0;3;0;23;0;0;4
3300704;Cabo Frio;2014;2;Interior;7;0;0;2;8;82;301;0;43;41
3300803;Cachoeiras de Macacu;2014;2;Interior;0;0;0;0;2;7;23;0;4;6
3300902;Cambuci;2014;2;Interior;0;0;0;0;0;0;4;0;0;0
3300936;Carapebus;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3300951;Comendador Levy Gasparian;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3301009;Campos dos Goytacazes;2014;2;Interior;29;0;0;2;13;157;326;1;38;39
3301108;Cantagalo;2014;2;Interior;0;0;0;0;0;4;17;0;2;2
3301157;Cardoso Moreira;2014;2;Interior;0;0;0;0;1;1;16;0;1;3
3301207;Carmo;2014;2;Interior;0;0;0;0;1;0;6;0;0;1
3301306;Casimiro de Abreu;2014;2;Interior;0;0;0;0;1;11;29;0;4;1
3301405;Conceição de Macabu;2014;2;Interior;1;0;0;0;0;2;12;0;0;1
3301504;Cordeiro;2014;2;Interior;0;0;0;0;0;1;19;0;2;0
3301603;Duas Barras;2014;2;Interior;0;0;0;0;1;1;4;0;1;0
3301702;Duque de Caxias;2014;2;Baixada Fluminense;46;1;0;9;29;1264;649;0;136;58
3301801;Engenheiro Paulo de Frontin;2014;2;Interior;0;0;0;0;0;0;7;0;0;0
3301850;Guapimirim;2014;2;Baixada Fluminense;0;0;0;0;5;15;23;0;3;3
3301876;Iguaba Grande;2014;2;Interior;3;0;0;0;0;2;30;0;2;1
3301900;Itaboraí;2014;2;Interior;6;0;0;1;12;131;140;0;34;22
3302007;Itaguaí;2014;2;Baixada Fluminense;11;0;1;1;4;59;97;1;31;12
3302056;Italva;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3302106;Itaocara;2014;2;Interior;1;0;0;0;0;4;13;0;3;2
3302205;Itaperuna;2014;2;Interior;1;0;0;0;5;3;54;0;4;11
3302254;Itatiaia;2014;2;Interior;0;0;0;0;1;4;21;0;3;1
3302270;Japeri;2014;2;Baixada Fluminense;3;1;0;0;0;18;32;0;9;7
3302304;Laje do Muriaé;2014;2;Interior;0;0;0;0;0;0;2;0;0;1
3302403;Macaé;2014;2;Interior;9;0;0;0;14;152;189;0;32;23
3302452;Macuco;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3302502;Magé;2014;2;Baixada Fluminense;12;0;1;0;13;88;102;0;23;7
3302601;Mangaratiba;2014;2;Interior;3;0;0;0;4;9;64;0;8;4
3302700;Maricá;2014;2;Grande Niterói;8;0;0;0;2;95;120;0;18;7
3302809;Mendes;2014;2;Interior;0;0;0;0;1;0;7;0;3;0
3302858;Mesquita;2014;2;Baixada Fluminense;4;0;0;0;7;187;115;0;19;19
3302908;Miguel Pereira;2014;2;Interior;3;0;0;0;4;5;29;0;4;2
3303005;Miracema;2014;2;Interior;0;0;0;0;0;0;7;0;1;6
3303104;Natividade;2014;2;Interior;0;0;0;0;1;0;9;0;2;2
3303203;Nilópolis;2014;2;Baixada Fluminense;6;0;0;0;7;256;143;0;24;8
3303302;Niterói;2014;2;Grande Niterói;9;0;0;11;20;546;683;1;147;50
3303401;Nova Friburgo;2014;2;Interior;3;0;0;0;3;20;96;0;29;24
3303500;Nova Iguaçu;2014;2;Baixada Fluminense;50;0;1;2;44;849;421;0;103;40
3303609;Paracambi;2014;2;Baixada Fluminense;1;0;0;0;3;4;22;0;5;9
3303708;Paraíba do Sul;2014;2;Interior;0;0;0;0;1;1;25;0;4;6
3303807;Paraty;2014;2;Interior;2;0;0;0;0;8;41;0;9;0
3303856;Paty do Alferes;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3303906;Petrópolis;2014;2;Interior;1;0;0;0;5;11;176;0;22;29
3303955;Pinheiral;2014;2;Interior;0;0;0;0;1;1;20;0;0;1
3304003;Piraí;2014;2;Interior;0;0;0;0;1;4;17;0;3;2
3304102;Porciúncula;2014;2;Interior;0;0;0;0;0;0;11;0;2;0
3304110;Porto Real;2014;2;Interior;2;0;0;0;2;2;11;0;1;4
3304128;Quatis;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3304144;Queimados;2014;2;Baixada Fluminense;10;1;0;0;9;66;66;0;14;9
3304151;Quissamã;2014;2;Interior;0;0;0;0;0;4;26;0;1;1
3304201;Resende;2014;2;Interior;3;0;0;0;5;16;123;0;19;12
3304300;Rio Bonito;2014;2;Interior;0;0;0;0;2;16;27;0;2;8
3304409;Rio Claro;2014;2;Interior;0;0;0;0;0;1;6;0;1;0
3304508;Rio das Flores;2014;2;Interior;0;0;0;0;0;1;2;0;0;0
3304524;Rio das Ostras;2014;2;Interior;2;0;0;0;6;59;166;0;19;2
3304557;Rio de Janeiro;2014;2;Capital;133;2;6;21;171;6539;9314;15;1648;292
3304607;Santa Maria Madalena;2014;2;Interior;0;0;0;0;0;2;2;0;1;0
3304706;Santo Antônio de Pádua;2014;2;Interior;0;0;0;0;1;4;16;0;5;13
3304755;São Francisco de Itabapoana;2014;2;Interior;2;0;0;0;1;1;13;0;2;0
3304805;São Fidélis;2014;2;Interior;0;0;0;0;0;2;21;0;2;1
3304904;São Gonçalo;2014;2;Grande Niterói;34;0;2;2;38;1420;569;0;123;63
3305000;São João da Barra;2014;2;Interior;5;0;0;0;7;13;46;0;0;7
3305109;São João de Meriti;2014;2;Baixada Fluminense;14;0;0;3;13;577;228;0;60;5
3305133;São José de Ubá;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3305158;São José do Vale do Rio Preto;2014;2;Interior;0;0;0;0;0;1;3;0;1;1
3305208;São Pedro da Aldeia;2014;2;Interior;3;0;0;0;5;19;57;0;7;6
3305307;São Sebastião do Alto;2014;2;Interior;0;0;0;0;0;2;3;0;0;0
3305406;Sapucaia;2014;2;Interior;0;0;0;0;2;1;4;0;2;0
3305505;Saquarema;2014;2;Interior;1;0;2;0;5;11;70;0;13;5
3305554;Seropédica;2014;2;Baixada Fluminense;2;0;0;0;9;29;35;0;3;8
3305604;Silva Jardim;2014;2;Interior;0;0;0;0;0;6;9;0;1;0
3305703;Sumidouro;2014;2;Interior;1;0;0;0;1;2;5;0;0;0
3305752;Tanguá;2014;2;Interior;0;0;0;0;1;11;7;0;4;2
3305802;Teresópolis;2014;2;Interior;1;0;1;0;2;6;80;0;23;21
3305901;Trajano de Moraes;2014;2;Interior;0;0;0;0;0;1;2;0;1;0
3306008;Três Rios;2014;2;Interior;2;0;0;0;3;1;57;0;7;14
3306107;Valença;2014;2;Interior;0;0;0;0;1;4;15;0;3;8
3306156;Varre-Sai;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3306206;Vassouras;2014;2;Interior;0;0;0;0;2;5;14;0;3;1
3306305;Volta Redonda;2014;2;Interior;7;0;1;1;10;40;158;0;39;16
3300100;Angra dos Reis;2014;3;Interior;6;0;0;0;4;37;133;0;19;26
3300159;Aperibé;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3300209;Araruama;2014;3;Interior;5;0;0;0;5;38;99;0;18;6
3300225;Areal;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3300233;Armação dos Búzios;2014;3;Interior;3;1;0;0;0;9;71;0;5;10
3300258;Arraial do Cabo;2014;3;Interior;0;0;0;0;0;1;39;0;6;2
3300308;Barra do Piraí;2014;3;Interior;2;0;0;1;3;11;34;0;6;5
3300407;Barra Mansa;2014;3;Interior;7;0;0;0;2;22;134;0;8;16
3300456;Belford Roxo;2014;3;Baixada Fluminense;24;0;0;4;16;309;150;0;19;15
3300506;Bom Jardim;2014;3;Interior;0;0;0;0;0;0;8;0;3;3
3300605;Bom Jesus do Itabapoana;2014;3;Interior;1;0;0;0;4;0;23;0;0;1
3300704;Cabo Frio;2014;3;Interior;19;0;0;2;8;97;345;0;34;25
3300803;Cachoeiras de Macacu;2014;3;Interior;5;0;0;0;1;4;27;0;4;1
3300902;Cambuci;2014;3;Interior;0;0;0;0;0;0;3;0;0;0
3300936;Carapebus;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3300951;Comendador Levy Gasparian;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3301009;Campos dos Goytacazes;2014;3;Interior;27;0;0;0;12;193;320;1;34;52
3301108;Cantagalo;2014;3;Interior;2;0;0;0;1;3;17;0;2;0
3301157;Cardoso Moreira;2014;3;Interior;0;0;0;0;0;1;3;0;2;2
3301207;Carmo;2014;3;Interior;0;0;0;0;0;2;7;0;2;3
3301306;Casimiro de Abreu;2014;3;Interior;2;0;0;0;3;12;35;0;2;5
3301405;Conceição de Macabu;2014;3;Interior;2;0;0;0;0;0;16;0;1;0
3301504;Cordeiro;2014;3;Interior;0;0;0;0;0;1;14;0;0;0
3301603;Duas Barras;2014;3;Interior;1;0;0;0;2;0;3;0;0;0
3301702;Duque de Caxias;2014;3;Baixada Fluminense;36;0;3;6;27;1154;564;0;154;52
3301801;Engenheiro Paulo de Frontin;2014;3;Interior;0;0;0;0;0;0;4;0;2;1
3301850;Guapimirim;2014;3;Baixada Fluminense;0;0;0;0;2;15;28;0;1;2
3301876;Iguaba Grande;2014;3;Interior;0;0;0;0;1;6;34;0;1;0
3301900;Itaboraí;2014;3;Interior;4;0;0;0;9;133;182;0;33;19
3302007;Itaguaí;2014;3;Baixada Fluminense;10;0;0;3;9;56;124;0;19;8
3302056;Italva;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3302106;Itaocara;2014;3;Interior;1;0;0;0;0;1;17;0;2;0
3302205;Itaperuna;2014;3;Interior;4;0;0;0;2;0;41;0;5;7
3302254;Itatiaia;2014;3;Interior;1;0;0;0;4;5;17;0;1;9
3302270;Japeri;2014;3;Baixada Fluminense;5;0;0;0;10;41;34;0;5;6
3302304;Laje do Muriaé;2014;3;Interior;0;0;0;0;0;0;1;0;1;0
3302403;Macaé;2014;3;Interior;18;0;0;0;4;183;169;0;26;15
3302452;Macuco;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3302502;Magé;2014;3;Baixada Fluminense;6;1;0;0;11;104;132;0;8;13
3302601;Mangaratiba;2014;3;Interior;6;0;0;0;2;14;64;0;1;2
3302700;Maricá;2014;3;Grande Niterói;4;0;0;0;9;63;137;0;12;1
3302809;Mendes;2014;3;Interior;0;0;0;0;2;4;7;0;1;5
3302858;Mesquita;2014;3;Baixada Fluminense;4;0;2;2;2;204;96;0;22;11
3302908;Miguel Pereira;2014;3;Interior;0;0;0;0;2;2;22;0;3;2
3303005;Miracema;2014;3;Interior;0;0;0;0;0;1;14;0;2;7
3303104;Natividade;2014;3;Interior;0;0;0;0;1;0;7;0;0;0
3303203;Nilópolis;2014;3;Baixada Fluminense;7;0;0;0;5;231;126;0;29;5
3303302;Niterói;2014;3;Grande Niterói;4;0;0;0;13;553;692;1;134;33
3303401;Nova Friburgo;2014;3;Interior;5;0;0;0;4;17;118;0;21;20
3303500;Nova Iguaçu;2014;3;Baixada Fluminense;55;0;0;0;31;807;490;0;83;31
3303609;Paracambi;2014;3;Baixada Fluminense;0;0;0;0;5;10;19;0;8;7
3303708;Paraíba do Sul;2014;3;Interior;3;0;0;0;1;6;20;0;5;0
3303807;Paraty;2014;3;Interior;5;0;0;0;5;7;49;0;7;2
3303856;Paty do Alferes;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3303906;Petrópolis;2014;3;Interior;6;0;0;0;6;16;145;0;23;24
3303955;Pinheiral;2014;3;Interior;0;0;0;0;0;2;20;0;0;0
3304003;Piraí;2014;3;Interior;0;0;0;0;2;5;27;0;1;5
3304102;Porciúncula;2014;3;Interior;0;0;0;0;0;0;12;0;2;3
3304110;Porto Real;2014;3;Interior;1;0;0;0;0;2;16;0;2;7
3304128;Quatis;2014;3;Interior;0;0;0;0;0;0;0;0;0;0
3304144;Queimados;2014;3;Baixada Fluminense;8;0;0;0;6;90;105;0;8;6
3304151;Quissamã;2014;3;Interior;1;0;0;0;2;5;18;0;3;0
3304201;Resende;2014;3;Interior;2;0;1;0;0;11;120;0;19;11
3304300;Rio Bonito;2014;3;Interior;1;0;0;0;2;14;31;0;6;7
3304409;Rio Claro;2014;3;Interior;0;0;0;0;0;1;7;0;0;0
3304508;Rio das Flores;2014;3;Interior;0;0;0;0;0;0;2;0;0;0
3304524;Rio das Ostras;2014;3;Interior;10;0;0;0;14;88;203;0;21;6
3304557;Rio de Janeiro;2014;3;Capital;111;2;4;21;141;7017;11045;10;1626;310
3304607;Santa Maria Madalena;2014;3;Interior;0;0;0;0;0;1;7;0;0;0
3304706;Santo Antônio de Pádua;2014;3;Interior;0;0;0;0;2;6;29;0;5;7
3304755;São Francisco de Itabapoana;2014;3;Interior;5;0;0;0;2;4;26;0;0;3
