fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos
3303955;Pinheiral;2014;1;Interior;0;0;0;0;2;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;9
3304003;Piraí;2014;1;Interior;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;1;0;0;24
3304102;Porciúncula;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13
3304110;Porto Real;2014;1;Interior;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;5;0;13
3304128;Quatis;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3304144;Queimados;2014;1;Baixada Fluminense;8;0;0;1;9;42;0;7;49;15;2;6;1;0;0;0;1;0;4;12;10;4;3;0;66
3304151;Quissamã;2014;1;Interior;2;0;1;0;2;0;0;0;0;3;0;3;0;0;0;0;0;0;1;4;0;0;0;0;9
3304201;Resende;2014;1;Interior;4;0;0;0;5;3;0;0;3;1;1;2;0;0;0;0;0;0;2;9;8;5;15;0;87
3304300;Rio Bonito;2014;1;Interior;1;0;0;0;0;4;0;2;6;7;0;4;2;0;0;0;0;0;0;5;0;1;3;0;17
3304409;Rio Claro;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;2
3304508;Rio das Flores;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
3304524;Rio das Ostras;2014;1;Interior;4;0;0;0;0;31;4;2;37;8;0;5;0;0;0;0;1;0;7;39;32;4;8;0;148
3304557;Rio de Janeiro;2014;1;Capital;113;3;5;32;194;3273;308;423;4004;1336;286;354;54;5;0;6;80;0;1027;629;2357;672;1059;0;4743
3304607;Santa Maria Madalena;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
3304706;Santo Antônio de Pádua;2014;1;Interior;3;0;1;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;2;5;1;0;2;0;30
3304755;São Francisco de Itabapoana;2014;1;Interior;1;0;0;0;2;2;1;0;3;2;0;1;0;0;0;0;0;0;0;5;1;1;2;0;27
3304805;São Fidélis;2014;1;Interior;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;20
3304904;São Gonçalo;2014;1;Grande Niterói;29;0;1;3;32;731;41;51;823;408;41;62;5;0;0;1;7;0;76;114;109;35;47;0;344
3305000;São João da Barra;2014;1;Interior;4;0;2;0;5;12;1;1;14;0;0;2;1;0;0;0;0;0;3;7;2;0;3;0;43
3305109;São João de Meriti;2014;1;Baixada Fluminense;23;0;0;0;7;269;9;9;287;204;17;41;7;0;1;0;8;0;48;41;22;13;13;0;162
3305133;São José de Ubá;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3305158;São José do Vale do Rio Preto;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
3305208;São Pedro da Aldeia;2014;1;Interior;4;0;1;0;4;3;0;1;4;4;0;2;1;0;0;0;0;0;9;13;2;1;3;0;48
3305307;São Sebastião do Alto;2014;1;Interior;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
3305406;Sapucaia;2014;1;Interior;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;6
3305505;Saquarema;2014;1;Interior;1;0;0;0;6;6;0;6;12;4;0;2;2;0;0;0;0;0;1;12;4;0;9;0;79
3305554;Seropédica;2014;1;Baixada Fluminense;3;0;0;0;3;7;0;1;8;8;4;1;1;0;0;0;0;0;6;5;2;2;4;0;33
